CacheSize,BlockSize,Associativity,WritePolicy,WriteMissPolicy,EvictPolicy,TotalReads,ReadMisses,TotalWrites,WriteMisses,TotalLatency
2048,512,4,--WriteBack,--WriteAllocate,--LRU,112576,10593,65042,1508,4038114
2048,512,4,--WriteBack,--NoWriteAllocate,--LRU,112576,10471,65042,10255,5671394
2048,512,4,--WriteThrough,--WriteAllocate,--LRU,112576,10593,65042,1508,17504314
2048,512,4,--WriteThrough,--NoWriteAllocate,--LRU,112576,10471,65042,10255,17145714
4096,16,1,--WriteBack,--WriteAllocate,--LRU,112576,7251,65042,3355,3933614
4096,16,1,--WriteBack,--NoWriteAllocate,--LRU,112576,8287,65042,7262,4497254
4096,16,1,--WriteThrough,--WriteAllocate,--LRU,112576,7251,65042,3355,17175414
4096,16,1,--WriteThrough,--NoWriteAllocate,--LRU,112576,8287,65042,7262,16665234
4096,16,2,--WriteBack,--WriteAllocate,--LRU,112576,3624,65042,2245,2485354
4096,16,2,--WriteBack,--NoWriteAllocate,--LRU,112576,3950,65042,5486,2905994
4096,16,2,--WriteThrough,--WriteAllocate,--LRU,112576,3624,65042,2245,16133274
4096,16,2,--WriteThrough,--NoWriteAllocate,--LRU,112576,3950,65042,5486,15711094
4096,16,4,--WriteBack,--WriteAllocate,--LRU,112576,1841,65042,1874,1813694
4096,16,4,--WriteBack,--NoWriteAllocate,--LRU,112576,2602,65042,5107,2404394
4096,16,4,--WriteThrough,--WriteAllocate,--LRU,112576,1841,65042,1874,15659394
4096,16,4,--WriteThrough,--NoWriteAllocate,--LRU,112576,2602,65042,5107,15414534
4096,16,8,--WriteBack,--WriteAllocate,--LRU,112576,1736,65042,1869,1783994
4096,16,8,--WriteBack,--NoWriteAllocate,--LRU,112576,2489,65042,5109,2376234
4096,16,8,--WriteThrough,--WriteAllocate,--LRU,112576,1736,65042,1869,15635194
4096,16,8,--WriteThrough,--NoWriteAllocate,--LRU,112576,2489,65042,5109,15389674
4096,16,16,--WriteBack,--WriteAllocate,--LRU,112576,1714,65042,1869,1778274
4096,16,16,--WriteBack,--NoWriteAllocate,--LRU,112576,2465,65042,5108,2369414
4096,16,16,--WriteThrough,--WriteAllocate,--LRU,112576,1714,65042,1869,15630354
4096,16,16,--WriteThrough,--NoWriteAllocate,--LRU,112576,2465,65042,5108,15384394
4096,16,32,--WriteBack,--WriteAllocate,--LRU,112576,1718,65042,1869,1777394
4096,16,32,--WriteBack,--NoWriteAllocate,--LRU,112576,2470,65042,5105,2368534
4096,16,32,--WriteThrough,--WriteAllocate,--LRU,112576,1718,65042,1869,15631234
4096,16,32,--WriteThrough,--NoWriteAllocate,--LRU,112576,2470,65042,5105,15385494
4096,32,1,--WriteBack,--WriteAllocate,--LRU,112576,7013,65042,2269,3456654
4096,32,1,--WriteBack,--NoWriteAllocate,--LRU,112576,7726,65042,7333,4399794
4096,32,1,--WriteThrough,--WriteAllocate,--LRU,112576,7013,65042,2269,16884134
4096,32,1,--WriteThrough,--NoWriteAllocate,--LRU,112576,7726,65042,7333,16541814
4096,32,2,--WriteBack,--WriteAllocate,--LRU,112576,3391,65042,1342,2020054
4096,32,2,--WriteBack,--NoWriteAllocate,--LRU,112576,3500,65042,5085,2681814
4096,32,2,--WriteThrough,--WriteAllocate,--LRU,112576,3391,65042,1342,15883354
4096,32,2,--WriteThrough,--NoWriteAllocate,--LRU,112576,3500,65042,5085,15612094
4096,32,4,--WriteBack,--WriteAllocate,--LRU,112576,1559,65042,941,1373914
4096,32,4,--WriteBack,--NoWriteAllocate,--LRU,112576,1996,65042,3597,1943934
4096,32,4,--WriteThrough,--WriteAllocate,--LRU,112576,1559,65042,941,15392094
4096,32,4,--WriteThrough,--NoWriteAllocate,--LRU,112576,1996,65042,3597,15281214
4096,32,8,--WriteBack,--WriteAllocate,--LRU,112576,1373,65042,919,1310774
4096,32,8,--WriteBack,--NoWriteAllocate,--LRU,112576,1819,65042,3589,1890914
4096,32,8,--WriteThrough,--WriteAllocate,--LRU,112576,1373,65042,919,15346334
4096,32,8,--WriteThrough,--NoWriteAllocate,--LRU,112576,1819,65042,3589,15242274
4096,32,16,--WriteBack,--WriteAllocate,--LRU,112576,1356,65042,920,1306814
